timestamp,pred,event_cls,x,y
23733,-0.005350467182966945,0,428.0,389.0
14800,-0.13961730342863732,0,939.0,274.0
7500,-0.03259142851768182,0,590.0,2.0
22300,-0.0046696206536080975,0,804.0,239.0
6733,-0.02848911237289664,0,420.0,73.0
22666,-0.011989342910847856,0,885.0,59.0
7766,-0.010264094187616424,0,547.0,27.0
11633,0.0021556612095496863,0,589.0,220.0
7933,0.005893614879007303,0,756.0,217.0
10000,-0.0314225736687862,0,859.0,117.0
8100,-0.0027400123108210495,0,516.0,126.0
17100,-0.009969252405486295,0,425.0,246.0
4166,0.00139547447974403,0,603.0,267.0
9433,-0.005350467182966945,0,491.0,252.0
2966,-0.009285938305920727,0,702.0,130.0
18766,-0.029567632374963293,0,702.0,188.0
11600,0.010355954494451203,0,524.0,270.0
24766,0.0729588796645666,0,366.0,301.0
700,-0.037157361403902245,0,625.0,427.0
9833,-0.005350467182966945,0,490.0,253.0
1866,0.00486631551376987,0,680.0,223.0
23933,-0.04936662842378936,0,614.0,187.0
15466,-0.01223961698649112,0,479.0,217.0
11000,0.0014801042461799474,0,913.0,252.0
23600,0.15161489946191314,0,427.0,387.0
5300,0.022060536659136543,0,893.0,125.0
5633,-0.01112873741087006,0,908.0,291.0
200,0.0698723109184502,0,666.0,252.0
2333,-0.000890130656305943,0,728.0,270.0
4533,0.010304064184472439,0,820.0,196.0
1166,0.008739964790690447,0,624.0,67.0
3133,-0.004650178526799609,0,714.0,151.0
3300,0.0072739140250823175,0,826.0,154.0
24400,-0.005350467182966945,0,339.0,702.0
12400,-0.0029972789191496374,0,796.0,223.0
11766,-0.06436098408657842,0,569.0,250.0
9500,-0.009639548792516162,0,765.0,302.0
2900,0.011260016465499845,0,668.0,252.0
5466,-0.0072637483701644134,0,898.0,136.0
3366,0.037797200797572816,0,836.0,167.0
22000,-0.0008132396924683816,0,732.0,187.0
20033,-0.010912651793788308,0,521.0,389.0
16633,-0.006077993059613873,0,433.0,235.0
10433,-0.05559365524468818,0,396.0,212.0
13300,0.004733081572846742,0,496.0,271.0
13800,-0.01685347561224848,0,852.0,182.0
21133,-0.01014212756247701,0,908.0,249.0
14066,0.03176188441268418,0,910.0,84.0
14333,-0.24238264126366238,0,828.0,55.0
100,0.185347405139141,0,668.0,254.0
7433,0.01788101849523993,0,591.0,279.0
17200,-0.001126873653482685,0,1005.0,56.0
12266,-0.01938947556220949,0,518.0,177.0
8266,-0.0004446156457674211,0,841.0,119.0
7366,0.01938437151433603,0,801.0,204.0
22600,-0.00030600052367318886,0,872.0,109.0
18966,-0.001790940827404608,0,434.0,396.0
17366,0.011782649134555456,0,1008.0,180.0
3433,-0.04043007514888264,0,849.0,189.0
1200,0.005545250184681605,0,614.0,411.0
6966,0.033576528763252345,0,807.0,336.0
9766,-0.00024196067585280367,0,403.0,213.0
6633,-0.021854294730299206,0,552.0,3.0
10633,0.028110180660352424,0,910.0,63.0
3900,0.006194609617683033,0,676.0,315.0
2133,0.14993421060690354,0,666.0,261.0
6800,0.009609541300182878,0,515.0,80.0
1933,0.01880900543966557,0,667.0,257.0
23833,0.008538076372350711,0,342.0,703.0
8466,-0.006919931662490941,0,864.0,76.0
2333,0.012447613603298324,0,422.0,221.0
11833,-0.01814007984707966,0,602.0,231.0
1833,-0.052499223493027936,0,667.0,255.0
4800,0.013474239967835755,0,799.0,283.0
2000,0.002048403612203986,0,667.0,259.0
6900,-0.002357037132819595,0,492.0,142.0
9433,-0.001958583244578982,0,756.0,270.0
19366,0.010202527994129629,0,398.0,123.0
20133,-0.009624370798098414,0,425.0,218.0
4100,-0.0014212564618934498,0,725.0,262.0
2400,-0.009958175110255096,0,684.0,217.0
21233,0.006766783067661097,0,507.0,226.0
24133,0.08695756799006166,0,488.0,209.0
6433,-0.01955776320655045,0,459.0,384.0
18066,-0.029893385474088596,0,400.0,179.0
15766,-0.009537761263313405,0,632.0,170.0
9700,0.04048472181159868,0,819.0,245.0
4900,-0.012672785595966185,0,568.0,213.0
5433,-0.0009294639588129372,0,458.0,27.0
15866,-0.08677377602240255,0,495.0,97.0
3733,-0.02674943556428655,0,652.0,204.0
8100,-0.0096712343154578,0,820.0,203.0
12866,0.010451046867442249,0,849.0,198.0
16366,0.13822882882517956,0,497.0,203.0
12566,0.011661420203666117,0,469.0,153.0
7066,0.015547659315656714,0,460.0,258.0
9233,0.036740776426136657,0,455.0,210.0
7666,0.0012690845684982244,0,560.0,12.0
20866,-0.024303688026236392,0,671.0,89.0
9066,0.0028079699965523064,0,469.0,232.0
18000,0.025648408753718432,0,423.0,158.0
4433,-0.034814490120088526,0,802.0,193.0
7866,-0.002257157799886611,0,801.0,252.0
10700,-0.011509320588793504,0,914.0,91.0
10633,0.028110180660352424,0,910.0,63.0
7166,-0.017256877930257652,0,409.0,17.0
16633,-0.028082846644778336,0,527.0,194.0
933,-0.1334158895174966,0,735.0,318.0
18433,-0.024924316396608415,0,479.0,254.0
22766,0.06938182724493513,0,904.0,3.0
12233,0.001563220742463678,0,749.0,191.0
20666,-0.13816941363766666,0,748.0,0.0
1133,-0.0024007890354239003,0,630.0,87.0
6233,-0.008746104311939118,0,659.0,205.0
12700,-0.0039275020089274415,0,836.0,218.0
24233,-0.0013940910163854903,0,456.0,226.0
9666,-0.005350467182966945,0,490.0,253.0
19166,0.01318434285001463,0,414.0,316.0
13300,0.02026934234092237,0,872.0,275.0
2500,-0.014586878146959581,0,650.0,244.0
6633,-0.005348805693572545,0,820.0,206.0
13300,-0.011605910016171284,0,836.0,189.0
12433,-0.00274910159721109,0,804.0,233.0
18366,-0.00956292050064067,0,802.0,16.0
